year,CTY_CODE,CTYNAME,I_1,IYR,E_1,EYR
2001,1,OPEC,5793.1,59753.9,1705,20052.4
2002,1,OPEC,3733.2,53244.6,1238.1,18811.8
2003,1,OPEC,4827.229934,68343.90934,1126.036445,17279.44481
2004,1,OPEC,5949.285059,92099.45605,1422.7,22256.33
2005,1,OPEC,8149.278487,127169.0657,1991.8,31640.8
2006,1,OPEC,11492.36574,150758.2283,2472.6,38658.4
2007,1,OPEC,11588.60337,165651.463,2968.4,48485
2008,1,OPEC,20302.1,242578.7,4377.1,64879.9
2009,1,OPEC,7982.701834,111602.3306,3924.52019,49856.99712
2010,1,OPEC,10966.44522,149893.094,3757.759429,54225.78907
2011,1,OPEC,14357.52669,191504.0005,4321.089547,64625.15822
2012,1,OPEC,15766.91878,180769.9808,5857.03847,81722.06452
2013,1,OPEC,14317.77425,77389.69796,7918.796014,44237.4546
2001,3,European Union,19413.6,226568.2,13908.7,161931
2002,3,European Union,16444.7,232313.4,11619.6,146621.2
2003,3,European Union,18656,253041.7,12073.1,155170.1
2004,3,European Union,19117.095,281958.624,12703.9,171229.64
2005,3,European Union,21997.6,309627.98,13982.1,185165.9
2006,3,European Union,24878.4,330481.7,15035.4,211886.9
2007,3,European Union,26094.34069,354409.2623,19237.50633,244165.9036
2008,3,European Union,27757.79818,367617.4479,21151.38215,271810.0855
2009,3,European Union,21187.93074,281800.8467,17666.98748,220599.3458
2010,3,European Union,21293.22372,319263.8226,18550.49763,239590.9601
2011,3,European Union,26134.26621,368475.2268,20219.04852,268455.2839
2012,3,European Union,29590.71084,381207.6484,21097.67942,265359.6409
2013,3,European Union,28883.82457,187346.416,20237.64866,129707.3961
2001,4,"World, Seasonally Adjusted",105470,1140999,65869,729100
2002,4,"World, Seasonally Adjusted",89443,1161366,55939,693104
2003,4,"World, Seasonally Adjusted",102284,1257121,58068,724771
2004,4,"World, Seasonally Adjusted",110890,1469703,62693,814874.5
2005,4,"World, Seasonally Adjusted",132065,1673456,71669,901081.8
2006,4,"World, Seasonally Adjusted",152919,1853939,80555,1025969
2007,4,"World, Seasonally Adjusted",156000,1956962,90847,1148197
2008,4,"World, Seasonally Adjusted",175412,2103641,104441,1287441
2009,4,"World, Seasonally Adjusted",129116,1559625,82415,1056042
2010,4,"World, Seasonally Adjusted",146808,1913858,98302,1278493
2011,4,"World, Seasonally Adjusted",178767,2208055,117495,1480289
2012,4,"World, Seasonally Adjusted",191923,2275320,125954,1545709
2013,4,"World, Seasonally Adjusted",189945,1126948.063,129441,780689.886
2001,5,NAFTA with Mexico (Consump),6374.8,81162.4,0,0
2002,5,NAFTA with Mexico (Consump),6164.5,84737.2,0,0
2003,5,NAFTA with Mexico (Consump),6838.6,87750.4,0,0
2004,5,NAFTA with Mexico (Consump),7074.8,96023.50743,0,0
2005,5,NAFTA with Mexico (Consump),7268.6,107195.8,0,0
2006,5,NAFTA with Mexico (Consump),9678.8,127162.9,0,0
2007,5,NAFTA with Mexico (Consump),9158.1,134072.5,0,0
2008,5,NAFTA with Mexico (Consump),10878.6,140516,0,0
2009,5,NAFTA with Mexico (Consump),7599.395994,107557.4002,0,0
2010,5,NAFTA with Mexico (Consump),9661.3,140705.1,0,0
2011,5,NAFTA with Mexico (Consump),12292.4,163817.363,0,0
2012,5,NAFTA with Mexico (Consump),12563.9,168590.6978,0,0
2013,5,NAFTA with Mexico (Consump),12260.6061,82668.62297,0,0
2001,6,NAFTA with Canada (Consump),9516.2,113179.3,4699.3,60462.9
2002,6,NAFTA with Canada (Consump),8450.4,113046.2,4371.2,61463.5
2003,6,NAFTA with Canada (Consump),8469.6,119416.4,4434.2,62550.6
2004,6,NAFTA with Canada (Consump),9177.7,131677.7567,4316.9,66731.54041
2005,6,NAFTA with Canada (Consump),10550.7,146261.6,5223.1,75790.4
2006,6,NAFTA with Canada (Consump),13009,159795.6,5933.9,83370.6
2007,6,NAFTA with Canada (Consump),12228.5,158984.3,5736.3,87337.2
2008,6,NAFTA with Canada (Consump),13001.4,166076.7,6577.4,89235.8
2009,6,NAFTA with Canada (Consump),7381.364276,112487.2791,4821.5,71710.6
2010,6,NAFTA with Canada (Consump),10885.2,145425.7,5892.1,85127.7
2011,6,NAFTA with Canada (Consump),12813.7,162733.936,6203.7,92298.7348
2012,6,NAFTA with Canada (Consump),14379,175241.3185,6764.4,98279.20735
2013,6,NAFTA with Canada (Consump),14713.00967,88763.92271,7271.043396,50711.8229
2001,7,Advance Technology Products,17671,195177,18287,199628
2002,7,Advance Technology Products,14780,195150,13605,178566
2003,7,Advance Technology Products,15409,207031,13060,180208
2004,7,Advance Technology Products,16751,238276,15073,201561
2005,7,Advance Technology Products,18953,259742,15536,216824
2006,7,Advance Technology Products,21652,290760,17877,247071
2007,7,Advance Technology Products,25367,326809,20398,264875
2008,7,Advance Technology Products,25706,331152,21730,270131
2009,7,Advance Technology Products,20735.15593,300891.8275,18730.82242,244707.8557
2010,7,Advance Technology Products,24377.30332,354252.9327,21304.75851,273310.5688
2011,7,Advance Technology Products,28321.22578,386480.4644,21113.85403,286829.7641
2012,7,Advance Technology Products,29356.27639,396115.9172,22559.96973,305153.8697
2013,7,Advance Technology Products,31152.66718,189892.3673,24016.77889,155963.9993
2001,8,NICS,9064.2,93202.2,6443.1,71981.4
2002,8,NICS,7275.4,91850.1,5215.5,69769.9
2003,8,NICS,7820.95784,92817.72027,5064.267019,71601.10573
2004,8,NICS,7932.936533,105475.797,5654.815502,82996.65549
2005,8,NICS,9074.297044,102609.0651,6646.953433,86003.20497
2006,8,NICS,9135.491363,109730.2135,6912.141521,96496.20652
2007,8,NICS,9544.10564,111259.5529,8014.782561,105750.5995
2008,8,NICS,9410.434498,106763.4626,8710.709986,108947.1766
2009,8,NICS,7550.445784,86853.5417,5896.401407,90379.9162
2010,8,NICS,7293.354467,106445.9923,8724.49229,120449.7408
2011,8,NICS,9400.627132,121592.4263,10346.31666,136851.4457
2012,8,NICS,9331.381489,123440.7246,9567.602896,134618.7196
2013,8,NICS,10275.2212,61703.15516,10337.70031,69284.92012
2001,9,South and Central America,6476.1,67370,4779.9,58155.9
2002,9,South and Central America,4844.9,69503.2,3875.7,51551.2
2003,9,South and Central America,5193.472035,78829.06873,4037.139774,51946.22674
2004,9,South and Central America,6830.513628,98647.81228,4462.103898,61379.65956
2005,9,South and Central America,9201.908356,122873.0293,5171.979963,72323.84624
2006,9,South and Central America,11041.65094,133675.8213,6444.24917,88379.64284
2007,9,South and Central America,10163.19463,134815.622,7949.18056,106780.3683
2008,9,South and Central America,13158.56423,159979.4362,9955.983671,136945.6628
2009,9,South and Central America,8288.522949,108099.1443,8804.491826,109548.8006
2010,9,South and Central America,9733.335334,131424.7817,9723.834653,138576.8111
2011,9,South and Central America,13130.38873,174294.7826,12622.97947,168746.2364
2012,9,South and Central America,14266.60073,171780.4972,13708.95836,183187.7612
2013,9,South and Central America,14067.07207,79712.98265,15149.92676,90017.48336
2001,10,North America,31147.9,347605.8,22314.6,264720.5
2002,10,North America,26316.9,343703.4,19795.6,258393
2003,10,North America,28565.70698,359654.641,20669.85968,267335.4651
2004,10,North America,30126.45035,412261.3568,21399.82849,300611.1512
2005,10,North America,33913.37277,460492.9072,24785.48227,332146.2695
2006,10,North America,41193.7668,500691.0183,27744.98146,364377.7264
2007,10,North America,40488.21578,527770.7294,28487.06009,384806.2833
2008,10,North America,44413.56963,555433.0443,32476.18284,412369.89
2009,10,North America,30017.8681,402902.8216,24514.72252,333550.0929
2010,10,North America,37743.23764,507622.356,28760.94747,412921.1048
2011,10,North America,44399.68025,578240.3987,35500.1733,479360.1203
2012,10,North America,48283.0014,601506.2836,39083.82821,508470.881
2013,10,North America,49513.24818,304455.1687,41092.26601,261336.0326
2001,12,Europe,22021.41503,253776.7737,15567.65108,181528.7051
2002,12,Europe,18092.75739,260865.5447,12746.06913,163626.3969
2003,12,Europe,20950.92511,284596.9235,13315.77368,173062.6005
2004,12,Europe,21374.72387,321430.9347,14070.8739,191789.7789
2005,12,Europe,25344.95632,355247.5706,15821.89448,209928.4258
2006,12,Europe,28733.79785,384007.4955,16916.40868,242993.5701
2007,12,Europe,29619.22131,407473.8273,21651.23388,283068.8613
2008,12,Europe,32571.86487,435203.3551,24540.98043,324997.1151
2009,12,Europe,24700.74003,331215.8571,20588.97637,258061.5728
2010,12,Europe,25937.43613,381884.619,21651.36964,285591.6738
2011,12,Europe,32046.23071,448614.942,24507.95554,328654.941
2012,12,Europe,35583.66894,455301.0671,26279.38591,329204.7275
2013,12,Europe,34655.73072,224467.418,24919.33003,164237.9868
2001,13,Africa,2360.67478,25431.33904,1006.710463,12119.34313
2002,13,Africa,1579.748507,22100.22181,913.450809,10663.06698
2003,13,Africa,2476.765496,32021.29431,789.374007,10612.56023
2004,13,Africa,2671.838956,45636.39218,1075.864728,13202.13802
2005,13,Africa,4167.790844,65211.77003,1176.198835,15309.54124
2006,13,Africa,6025.331248,80417.92988,1224.018027,18582.83506
2007,13,Africa,6770.653073,92013.05402,1497.930684,23425.82089
2008,13,Africa,10095.71563,113495.5538,1962.782842,28392.70059
2009,13,Africa,4027.251708,62403.61367,1831.49957,24329.4856
2010,13,Africa,6631.588553,85008.09806,1760.484078,28339.92666
2011,13,Africa,8273.871645,93009.05978,2584.827586,32841.30775
2012,13,Africa,6331.776507,66817.12631,2268.146171,32737.50066
2013,13,Africa,5096.102015,27499.51685,2461.240423,17981.84727
2001,14,Pacific Rim,33463.2,376063.6,15779.1,181391.1
2002,14,Pacific Rim,28562.1,393472.5,13256.4,178569.3
2003,14,Pacific Rim,32757.78515,418965.9533,13617.55863,188448.7472
2004,14,Pacific Rim,35776.94632,492549.3247,15220.39055,207808.4791
2005,14,Pacific Rim,41914.03038,551400.4376,16002.20159,220673.0827
2006,14,Pacific Rim,47223.67278,618521.7131,18240.40634,252411.4635
2007,14,Pacific Rim,52540.61124,647840.283,20939.15702,275536.958
2008,14,Pacific Rim,53431.53439,653941.6844,23240.12754,295951.4277
2009,14,Pacific Rim,45112.48099,532997.3176,16953.50593,254572.4293
2010,14,Pacific Rim,45501.93024,653908.1643,24451.53991,326396.9733
2011,14,Pacific Rim,55890.66292,717620.631,27861.28734,367784.2677
2012,14,Pacific Rim,60910.05874,762206.7904,28343.57921,379228.3227
2013,14,Pacific Rim,64336.37923,366759.1068,29344.63091,186236.7847
2001,15,"World, Not Seasonally Adjusted",101869.1,1140998.1,62161,729100.6
2002,15,"World, Not Seasonally Adjusted",85111.7,1161366.4,52667.2,693101.4
2003,15,"World, Not Seasonally Adjusted",97490.98131,1257121.251,54854.14636,724770.9827
2004,15,"World, Not Seasonally Adjusted",103993,1469705,58924.27214,814874.6537
2005,15,"World, Not Seasonally Adjusted",122900,1673454,66149.06287,901081.8125
2006,15,"World, Not Seasonally Adjusted",144562,1853938,74338.31569,1025967.497
2007,15,"World, Not Seasonally Adjusted",150833,1956961,85127.84519,1148198.722
2008,15,"World, Not Seasonally Adjusted",168350.2004,2103640.711,98677.0516,1287441.997
2009,15,"World, Not Seasonally Adjusted",122414.5562,1559624.813,78150.57881,1056042.963
2010,15,"World, Not Seasonally Adjusted",136725.3725,1913856.594,92600.63234,1278494.526
2011,15,"World, Not Seasonally Adjusted",167048.1432,2208055.013,110186.2583,1480290.227
2012,15,"World, Not Seasonally Adjusted",183522.0782,2275319.823,117838.7043,1545708.5
2013,15,"World, Not Seasonally Adjusted",185187.1224,1108454.425,123389.9448,781107.3648
2001,16,Asia,39102.2,437748.1,17481.8,198929.8
2002,16,Asia,33569.83129,456041.2428,14227.23849,193493.9348
2003,16,Asia,39551.07488,492807.521,15043.40065,206391.893
2004,16,Asia,42139.08334,580791.5375,16650.04316,231291.6815
2005,16,Asia,49459.1133,658745.7389,17855.88866,252497.9459
2006,16,Asia,56604.02998,743433.0391,20209.52043,290765.0693
2007,16,Asia,62788.4165,782699.8585,23775.86963,327285.9445
2008,16,Asia,66923.22417,825325.277,27931.78226,359151.2368
2009,16,Asia,54326.82733,644073.6722,20834.13586,307896.5758
2010,16,Asia,55834.0049,796127.6226,28882.25175,387360.5652
2011,16,Asia,68272.98555,900022.8955,32830.57256,438457.7285
2012,16,Asia,78021.31024,966460.6704,33681.21591,456507.5026
2013,16,Asia,80652.47172,465265.2267,37508.10551,232912.1092
2005,17,CAFTA-DR,1177.693003,18075.14209,1263.196467,16886.23489
2006,17,CAFTA-DR,1241.88131,18579.12853,1453.856875,19585.06285
2007,17,CAFTA-DR,1267.730351,18742.39315,1680.954779,22393.95179
2008,17,CAFTA-DR,1369.994212,19351.43437,1964.032753,25394.87494
2009,17,CAFTA-DR,1037.935761,18842.14886,1495.376518,19944.30112
2010,17,CAFTA-DR,1466.280101,24037.98108,1721.59998,24255.98221
2011,17,CAFTA-DR,1817.31164,28620.14969,2298.581402,30095.47607
2012,17,CAFTA-DR,2186.050934,30879.73817,2439.195512,29900.55001
2013,17,CAFTA-DR,2086.951066,14823.41402,2289.640156,14478.71268
2001,18,Australia and Oceania,757.2,9033.9,1010.5,13379
2002,18,Australia and Oceania,704.9,9126.2,1109.2,15183.7
2003,18,Australia and Oceania,750.088933,9195.358143,998.377598,15233.44312
2004,18,Australia and Oceania,849.183518,10920.31803,1265.280313,16371.99617
2005,18,Australia and Oceania,812.108943,10865.15446,1336.742837,18653.43549
2006,18,Australia and Oceania,961.481547,11701.66369,1799.10892,20740.84922
2007,18,Australia and Oceania,1002.635885,12177.24581,1766.251102,22385.59504
2008,18,Australia and Oceania,1186.526873,14196.89998,1808.395559,25367.10095
2009,18,Australia and Oceania,1053.214555,10921.34547,1575.832352,22415.48853
2010,18,Australia and Oceania,845.445604,11778.97799,1821.529413,25319.95409
2011,18,Australia and Oceania,923.93676,13865.2396,2139.531008,31997.08425
2012,18,Australia and Oceania,1035.451979,13447.42197,2816.748418,35584.09043
2013,18,Australia and Oceania,1163.813138,6765.874907,2273.900055,14707.21423
2001,19,Sub Saharan Africa,1961.7,21286.3,598.1,6941.6
2002,19,Sub Saharan Africa,1316.6,17891.1,429.9,6025
2003,19,Sub Saharan Africa,1991.728402,25633.26877,453.687919,6870.935558
2004,19,Sub Saharan Africa,2182.989717,35879.51521,616.719973,8340.021094
2005,19,Sub Saharan Africa,3410.613155,50364.60266,735.764124,10210.66349
2006,19,Sub Saharan Africa,4759.316168,59092.82227,782.10477,11859.71019
2007,19,Sub Saharan Africa,4987.846896,67357.83085,914.391103,14296.12339
2008,19,Sub Saharan Africa,7679.778042,86052.68761,1209.86985,18471.89622
2009,19,Sub Saharan Africa,2905.395979,46900.64548,1314.899282,15155.06945
2010,19,Sub Saharan Africa,4882.2,65025.9,991.8,17109.9
2011,19,Sub Saharan Africa,6289.1,74322,1489.1,21141.8
2012,19,Sub Saharan Africa,5084.5,49625.2,1503.9,22505.1
2013,19,Sub Saharan Africa,3877.141909,21647.83935,1580.5553,11762.41632
2001,1010,Greenland,3.4,28.8,0,4.7
2002,1010,Greenland,1.8,22.5,0,4
2003,1010,Greenland,2.486787,13.796773,0.219594,2.998415
2004,1010,Greenland,0.814792,14.590898,0.277646,3.599703
2005,1010,Greenland,0.415288,17.255599,0.253375,5.085009
2006,1010,Greenland,1.509937,10.350546,0.024105,2.972467
2007,1010,Greenland,0.712608,9.927092,0.319255,4.418684
2008,1010,Greenland,0.672744,6.104898,0.944011,34.892248
2009,1010,Greenland,0.13153,7.563517,0.88859,7.072819
2010,1010,Greenland,0.32436,8.293926,0.215325,8.577516
2011,1010,Greenland,0.954153,7.486174,0.218837,7.302165
2012,1010,Greenland,0.268403,6.753866,0.414791,15.85679
2013,1010,Greenland,0.001799,4.632076,0.233446,13.481735
2001,1220,Canada,20441.9,216267.9,13666.6,163424.1
2002,1220,Canada,16335.1,209087.7,12061.5,160922.7
2003,1220,Canada,17735.23511,221594.6503,12889.73417,169923.6717
2004,1220,Canada,18925.75297,256359.8359,13315.84789,189879.8663
2005,1220,Canada,21839.49523,290384.2932,15568.41179,211898.6894
2006,1220,Canada,25965.86806,302437.8593,17261.09118,230656.0136
2007,1220,Canada,25114.80099,317056.7626,17803.55524,248888.1446
2008,1220,Canada,27359.07973,339491.4254,20485.58518,261149.8335
2009,1220,Canada,17552.98778,226248.449,14733.58158,204657.9552
2010,1220,Canada,21653.83633,277636.733,17238.67323,249256.4593
2011,1220,Canada,24793.26918,315366.5439,20650.57231,281291.5242
2012,1220,Canada,26779.07516,323936.4545,22067.00377,292539.6887
2013,1220,Canada,27963.36622,166072.4327,23142.80429,150597.7348
2001,1610,St Pierre and Miquelon,0.3,3.4,0,0.6
2002,1610,St Pierre and Miquelon,0.6,3.6,0,0.7
2003,1610,St Pierre and Miquelon,0.461093,2.647176,0.001385,0.084544
2004,1610,St Pierre and Miquelon,0.010451,1.455791,0,0.652107
2005,1610,St Pierre and Miquelon,0.047388,1.094378,0.622446,0.980031
2006,1610,St Pierre and Miquelon,0.066493,1.156967,0.00489,0.44661
2007,1610,St Pierre and Miquelon,0,1.579257,0,0.221553
2008,1610,St Pierre and Miquelon,0.062267,1.039646,0,0.400795
2009,1610,St Pierre and Miquelon,0,0.795629,0.03172,0.135133
2010,1610,St Pierre and Miquelon,0,1.844709,0,0.014691
2011,1610,St Pierre and Miquelon,0.095409,0.208618,0,0.118559
2012,1610,St Pierre and Miquelon,0,0.002878,0.006554,0.179852
2013,1610,St Pierre and Miquelon,0,0.003975,0,0.251067
2001,2010,Mexico,10706,131337.9,8648,101296.5
2002,2010,Mexico,9981.9,134616,7734,97470.1
2003,2010,Mexico,10830.47187,138059.9907,7780.125509,97411.79335
2004,2010,Mexico,11200.69738,155901.5209,8083.980602,110731.2849
2005,2010,Mexico,12073.87754,170108.6141,9217.070481,120247.5801
2006,2010,Mexico,15227.89873,198253.159,10483.89028,133721.7128
2007,2010,Mexico,15373.41478,210713.9668,10683.50485,135918.1387
2008,2010,Mexico,17054.4899,215941.6189,11990.59767,151220.0565
2009,2010,Mexico,12464.88032,176654.3726,9781.140946,128892.1376
2010,2010,Mexico,16089.40131,229985.623,11522.27424,163664.6455
2011,2010,Mexico,19606.41106,262873.8548,14849.60099,198068.5961
2012,2010,Mexico,21503.92623,277569.8291,17016.82444,215931.1923
2013,2010,Mexico,21549.88196,138382.736,17949.46173,110738.2979
2001,2050,Guatemala,228.7,2588.6,156.6,1869.7
2002,2050,Guatemala,216.5,2796.4,153.7,2044.4
2003,2050,Guatemala,246.888788,2946.782207,215.184805,2263.394847
2004,2050,Guatemala,217.039948,3153.978503,172.224517,2551.304685
2005,2050,Guatemala,244.009334,3137.382263,194.938125,2835.38039
2006,2050,Guatemala,215.074969,3102.282088,253.914806,3511.420817
2007,2050,Guatemala,230.14491,3026.095015,336.345056,4065.05113
2008,2050,Guatemala,297.650765,3462.740635,339.251839,4718.262816
2009,2050,Guatemala,196.601285,3147.541215,242.922053,3874.527192
2010,2050,Guatemala,243.207646,3522.648526,328.198493,4476.851241
2011,2050,Guatemala,320.689493,4713.979911,453.927292,6148.556545
2012,2050,Guatemala,376.323569,4490.470685,491.336224,5749.534881
2013,2050,Guatemala,314.766155,2092.376464,461.115944,2820.615699
2001,2080,Belize,4.1,97.5,15.8,173.3
2002,2080,Belize,4.3,77.6,10.4,137.5
2003,2080,Belize,5.352117,101.442615,21.105171,198.808473
2004,2080,Belize,5.554294,107.020122,9.463011,151.832036
2005,2080,Belize,5.172393,98.265102,12.739605,217.562773
2006,2080,Belize,4.656801,146.896012,25.229671,238.752478
2007,2080,Belize,5.830802,105.015575,16.080378,234.216134
2008,2080,Belize,10.606312,153.998548,21.466395,352.655245
2009,2080,Belize,6.573171,99.551376,16.538304,252.69852
2010,2080,Belize,2.170355,120.183702,18.959413,289.388047
2011,2080,Belize,8.66908,190.538867,22.865564,355.713818
2012,2080,Belize,13.922079,161.8321,34.28551,265.614
2013,2080,Belize,11.068201,67.165199,17.959755,129.266645
2001,2110,El Salvador,121.4,1880.3,140.1,1759.4
2002,2110,El Salvador,146.1,1982.3,121,1664.1
2003,2110,El Salvador,148.363986,2019.832291,138.378245,1820.916697
2004,2110,El Salvador,138.917541,2052.247139,134.91763,1867.702448
2005,2110,El Salvador,133.892204,1988.765718,151.278554,1854.286657
2006,2110,El Salvador,122.112822,1856.821932,164.639323,2152.092495
2007,2110,El Salvador,153.409581,2043.503686,163.354836,2313.065522
2008,2110,El Salvador,144.237521,2227.975732,197.168963,2461.953266
2009,2110,El Salvador,131.049501,1821.80707,169.735035,2018.69171
2010,2110,El Salvador,126.299696,2205.710607,151.983927,2433.816689
2011,2110,El Salvador,166.256579,2484.612208,226.353478,3369.447079
2012,2110,El Salvador,196.402966,2586.935916,278.141015,3095.959184
2013,2110,El Salvador,177.71097,1200.668772,207.191597,1492.462688
2001,2150,Honduras,206.7,3126.5,205.6,2415.8
2002,2150,Honduras,194.6,3261.3,191.9,2571.1
2003,2150,Honduras,215.308085,3312.682869,228.908573,2826.242842
2004,2150,Honduras,211.741161,3639.989158,228.849382,3078.422244
2005,2150,Honduras,246.823508,3749.243099,253.711108,3253.813808
2006,2150,Honduras,255.995349,3717.498062,283.629122,3687.06497
2007,2150,Honduras,254.361797,3912.104025,312.963923,4461.359257
2008,2150,Honduras,249.705314,4041.228449,418.028281,4846.217272
2009,2150,Honduras,201.281788,3319.283433,239.80393,3367.600743
2010,2150,Honduras,221.322956,3932.993035,323.117305,4606.443933
2011,2150,Honduras,275.046045,4500.958709,515.099631,6143.441262
2012,2150,Honduras,266.655009,4647.733412,469.734356,5722.115579
2013,2150,Honduras,281.938163,2212.991267,398.630447,2555.995403
2001,2190,Nicaragua,51.9,603.8,41.5,443
2002,2190,Nicaragua,49.8,679.5,24,437
2003,2190,Nicaragua,60.251651,769.722439,36.69659,501.655086
2004,2190,Nicaragua,61.760641,990.334173,36.472092,592.430711
2005,2190,Nicaragua,89.291456,1180.787602,46.662458,625.460463
2006,2190,Nicaragua,109.8432,1526.00586,53.755189,751.563512
2007,2190,Nicaragua,117.447542,1603.506406,61.081045,889.963276
2008,2190,Nicaragua,128.221001,1703.594149,70.861761,1094.246692
2009,2190,Nicaragua,97.234162,1612.420986,38.80872,715.129472
2010,2190,Nicaragua,112.031938,2007.563561,45.274513,981.363718
2011,2190,Nicaragua,155.9975,2603.134501,83.063973,1058.099635
2012,2190,Nicaragua,200.465989,2747.83932,79.955703,1128.520814
2013,2190,Nicaragua,199.870013,1350.944927,76.031196,492.574325
2001,2230,Costa Rica,205.5,2886.2,207.2,2502.3
2002,2230,Costa Rica,188.1,3141.9,201.1,3116.5
2003,2230,Costa Rica,253.733186,3364.242303,357.943662,3413.541792
2004,2230,Costa Rica,213.829058,3333.276244,281.544814,3305.858948
2005,2230,Costa Rica,228.242767,3415.279262,278.065957,3598.560177
2006,2230,Costa Rica,265.07986,3844.142053,316.205281,4132.381499
2007,2230,Costa Rica,269.552957,3941.540359,387.895737,4580.459896
2008,2230,Costa Rica,303.470146,3938.067781,421.866271,5679.825053
2009,2230,Costa Rica,225.779387,5611.644252,353.549769,4699.532055
2010,2230,Costa Rica,580.116379,8697.340843,406.119169,5178.268088
2011,2230,Costa Rica,676.170679,10118.72847,457.090245,6058.238696
2012,2230,Costa Rica,878.619196,12041.75229,654.172429,7230.792866
2013,2230,Costa Rica,836.393347,5892.990402,600.107421,3492.931196
2001,2250,Panama,25.8,290.7,106.1,1330.5
2002,2250,Panama,21.3,302.5,85.2,1406.6
2003,2250,Panama,22.795295,301.428278,144.890907,1848.734593
2004,2250,Panama,37.7729,315.855793,102.982903,1772.470119
2005,2250,Panama,20.329772,327.060069,129.479184,2162.020485
2006,2250,Panama,20.511786,378.687851,188.254355,2660.135037
2007,2250,Panama,23.71759,365.172576,208.83086,3669.201342
2008,2250,Panama,52.414548,379.057193,333.489875,4887.253843
2009,2250,Panama,15.930658,302.296683,376.324222,4292.943517
2010,2250,Panama,52.584933,380.982072,493.660423,6065.898991
2011,2250,Panama,21.498568,389.380075,596.988928,8247.041271
2012,2250,Panama,28.41265,540.364964,708.69554,9834.707391
2013,2250,Panama,30.312099,197.16539,1067.655123,5445.500052
2001,2320,Bermuda,0.8,65.7,27,371
2002,2320,Bermuda,0.7,22.9,20.9,415
2003,2320,Bermuda,0.84752,15.244803,25.71213,401.152475
2004,2320,Bermuda,0.780348,25.028174,70.004585,461.252862
2005,2320,Bermuda,2.351757,87.276753,22.038064,490.497944
2006,2320,Bermuda,0.822483,16.130711,37.097774,634.413551
2007,2320,Bermuda,1.979411,23.7132,78.68266,660.014871
2008,2320,Bermuda,0.996801,140.059938,96.975344,821.68224
2009,2320,Bermuda,0.385724,13.004671,86.320814,807.392576
2010,2320,Bermuda,8.832869,22.450895,61.28023,636.569462
2011,2320,Bermuda,0.310173,59.942887,57.606188,610.734701
2012,2320,Bermuda,0.8361,83.804238,29.137399,622.382299
2013,2320,Bermuda,1.105168,48.852461,47.171188,263.424193
2001,2360,Bahamas,24.6,313.9,89.1,1026.3
2002,2360,Bahamas,33.6,449.7,59.1,975.3
2003,2360,Bahamas,34.292117,479.305211,92.644155,1074.693697
2004,2360,Bahamas,44.358419,637.687491,74.897467,1185.751409
2005,2360,Bahamas,51.985918,699.936003,103.933116,1786.740047
2006,2360,Bahamas,41.590853,452.601512,181.599726,2282.366185
2007,2360,Bahamas,64.744124,503.859964,158.422313,2468.442608
2008,2360,Bahamas,65.976349,604.428019,259.093773,2759.541038
2009,2360,Bahamas,46.370915,819.11314,151.590302,2504.043054
2010,2360,Bahamas,48.254702,814.579673,220.09351,3177.987377
2011,2360,Bahamas,61.580856,764.809491,270.871448,3441.667985
2012,2360,Bahamas,29.862408,563.095391,204.202615,3468.49588
2013,2360,Bahamas,86.541345,313.360688,287.538461,1597.432889
2001,2390,Cuba,0,0,0.3,7.2
2002,2390,Cuba,0,0.2,10,145.9
2003,2390,Cuba,0.027547,0.301703,15.261021,259.127063
2004,2390,Cuba,0,0.039891,34.930076,404.140942
2005,2390,Cuba,0,0.009079,28.028926,369.034678
2006,2390,Cuba,0,0.143654,29.207667,340.470678
2007,2390,Cuba,0,0.262151,23.123868,447.06104
2008,2390,Cuba,0,0.039126,57.775081,711.500939
2009,2390,Cuba,0,0.020534,62.833114,532.777218
2010,2390,Cuba,0,0.347081,47.754311,363.112464
2011,2390,Cuba,0,0.005625,23.231383,363.316479
2012,2390,Cuba,0,0.094355,53.142653,464.458419
2013,2390,Cuba,0,0,65.918611,235.23399
2001,2410,Jamaica,29.3,460.5,114.8,1405.5
2002,2410,Jamaica,28.6,396.4,95.1,1420.1
2003,2410,Jamaica,38.177604,422.748801,139.821777,1469.544613
2004,2410,Jamaica,23.080214,319.73713,102.479413,1430.779783
2005,2410,Jamaica,27.416627,375.57236,107.927238,1700.769277
2006,2410,Jamaica,29.831828,528.131242,137.512562,2035.665603
2007,2410,Jamaica,57.605283,720.445231,169.190479,2315.958604
2008,2410,Jamaica,48.955596,728.687455,218.933266,2643.366812
2009,2410,Jamaica,40.851173,467.581232,155.261584,1440.576002
2010,2410,Jamaica,24.470528,327.66667,120.807812,1661.39657
2011,2410,Jamaica,15.753269,566.089945,142.605602,1931.047106
2012,2410,Jamaica,33.942257,507.111317,200.596517,1988.337225
2013,2410,Jamaica,41.625068,255.859215,201.105514,1035.236366
2001,2430,Turks and Caicos Islands,0.4,7.9,6.8,77.1
2002,2430,Turks and Caicos Islands,0.6,5.2,4.1,53.7
2003,2430,Turks and Caicos Islands,0.210662,6.090117,5.874327,71.891742
2004,2430,Turks and Caicos Islands,0.382743,7.27536,10.413145,137.423498
2005,2430,Turks and Caicos Islands,0.502601,9.434412,12.490077,237.752693
2006,2430,Turks and Caicos Islands,0.644276,12.06901,28.818724,365.682812
